PlantID,AncestorId,Symbol,ScientificName,CommonName,RankId,Rank
14332,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
14332,12761,Pteridophyta,Pteridophyta,Ferns,40,Division
14332,12762,Filicopsida,Filicopsida,,60,Class
14332,12971,Polypodiales,Polypodiales,,80,Order
14332,14325,PTERID,Pteridaceae E.D.M. Kirchn.,Maidenhair Fern family,100,Family
14332,14331,ADIAN,Adiantum L.,maidenhair fern,140,Genus
14332,14332,ADAL,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,180,Species
71771,7168,Plantae,Plantae,Plants,10,Kingdom
71771,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
71771,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
71771,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
71771,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
71771,71219,Magnoliidae,Magnoliidae,,70,Subclass
71771,71768,Papaverales,Papaverales,,80,Order
71771,71769,FUMARI,Fumariaceae Marquis,Fumitory family,100,Family
71771,71770,ADLUM,Adlumia Raf. ex DC.,adlumia,140,Genus
71771,71771,ADFU,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,180,Species
93147,7168,Plantae,Plantae,Plants,10,Kingdom
93147,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
93147,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
93147,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
93147,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
93147,73681,Rosidae,Rosidae,,70,Subclass
93147,92751,Sapindales,Sapindales,,80,Order
93147,93124,HIPPOC,Hippocastanaceae A. Rich.,Horse-chestnut family,100,Family
93147,93125,AESCU,Aesculus L.,buckeye,140,Genus
93147,93147,AEMA2,Aesculus ×marylandica J.R. Booth ex G. Kirchn. [flava × glabra],buckeye,180,Species
50074,7168,Plantae,Plantae,Plants,10,Kingdom
50074,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
50074,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
50074,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
50074,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
50074,31160,Asteridae,Asteridae,,70,Subclass
50074,48770,Scrophulariales,Scrophulariales,,80,Order
50074,50063,SCROPH,Scrophulariaceae Juss.,Figwort family,100,Family
50074,50067,AGALI,Agalinis Raf.,false foxglove,140,Genus
50074,50074,AGAU3,Agalinis auriculata (Michx.) S.F. Blake,earleaf false foxglove,180,Species
50109,7168,Plantae,Plantae,Plants,10,Kingdom
50109,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
50109,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
50109,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
50109,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
50109,31160,Asteridae,Asteridae,,70,Subclass
50109,48770,Scrophulariales,Scrophulariales,,80,Order
50109,50063,SCROPH,Scrophulariaceae Juss.,Figwort family,100,Family
50109,50067,AGALI,Agalinis Raf.,false foxglove,140,Genus
50109,50109,AGGA,Agalinis gattingeri (Small) Small,roundstem false foxglove,180,Species
50159,7168,Plantae,Plantae,Plants,10,Kingdom
50159,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
