PlantID,AncestorId,Symbol,ScientificName,CommonName,RankId,Rank
93147,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
93147,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
93147,73681,Rosidae,Rosidae,,70,Subclass
93147,92751,Sapindales,Sapindales,,80,Order
93147,93124,HIPPOC,Hippocastanaceae A. Rich.,Horse-chestnut family,100,Family
93147,93125,AESCU,Aesculus L.,buckeye,140,Genus
93147,93147,AEMA2,Aesculus ×marylandica J.R. Booth ex G. Kirchn. [flava × glabra],buckeye,180,Species
31239,7168,Plantae,Plantae,Plants,10,Kingdom
31239,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
31239,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
31239,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
31239,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
31239,31160,Asteridae,Asteridae,,70,Subclass
31239,31161,Asterales,Asterales,,80,Order
31239,31162,ASTERA,Asteraceae Bercht. & J. Presl,Aster family,100,Family
31239,31176,ACHIL,Achillea L.,yarrow,140,Genus
31239,31206,ACMI2,Achillea millefolium L.,common yarrow,180,Species
31239,31239,ACMIO,Achillea millefolium L. var. occidentalis DC.,western yarrow,200,Variety
93135,7168,Plantae,Plantae,Plants,10,Kingdom
93135,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
93135,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
93135,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
93135,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
93135,73681,Rosidae,Rosidae,,70,Subclass
93135,92751,Sapindales,Sapindales,,80,Order
93135,93124,HIPPOC,Hippocastanaceae A. Rich.,Horse-chestnut family,100,Family
93135,93125,AESCU,Aesculus L.,buckeye,140,Genus
93135,93135,AEGL,Aesculus glabra Willd.,Ohio buckeye,180,Species
14357,7168,Plantae,Plantae,Plants,10,Kingdom
14357,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
14357,12761,Pteridophyta,Pteridophyta,Ferns,40,Division
14357,12762,Filicopsida,Filicopsida,,60,Class
14357,12971,Polypodiales,Polypodiales,,80,Order
14357,14325,PTERID,Pteridaceae E.D.M. Kirchn.,Maidenhair Fern family,100,Family
14357,14331,ADIAN,Adiantum L.,maidenhair fern,140,Genus
14357,14357,ADPE,Adiantum pedatum L.,northern maidenhair,180,Species
